Nome: RIO GRANDE
Codigo Estacao: A802
Latitude: -32.07888888
Longitude: -52.16777777
Altitude: 4.92
Situacao: Operante
Data Inicial: 2024-10-29
Data Final: 2024-10-29
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;PRECIPITACAO TOTAL, HORARIO(mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA(mB);PRESSAO ATMOSFERICA REDUZIDA NIVEL DO MAR, AUT(mB);PRESSAO ATMOSFERICA MAX.NA HORA ANT. (AUT)(mB);PRESSAO ATMOSFERICA MIN. NA HORA ANT. (AUT)(mB);RADIACAO GLOBAL(Kj/m²);TEMPERATURA DA CPU DA ESTACAO(°C);TEMPERATURA DO AR - BULBO SECO, HORARIA(°C);TEMPERATURA DO PONTO DE ORVALHO(°C);TEMPERATURA MAXIMA NA HORA ANT. (AUT)(°C);TEMPERATURA MINIMA NA HORA ANT. (AUT)(°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT)(°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT)(°C);TENSAO DA BATERIA DA ESTACAO(V);UMIDADE REL. MAX. NA HORA ANT. (AUT)(%);UMIDADE REL. MIN. NA HORA ANT. (AUT)(%);UMIDADE RELATIVA DO AR, HORARIA(%);VENTO, DIRECAO HORARIA (gr)(° (gr));VENTO, RAJADA MAXIMA(m/s);VENTO, VELOCIDADE HORARIA(m/s);
2024-10-29;0000;0;1017,7;1018,5;1017,7;1017,4;-3,5;20;19,6;17,9;19,8;19,4;17,9;17,6;12,8;90;88;90;77;6;2,4;
2024-10-29;0100;0;1018,1;1018,9;1018,1;1017,7;-3,5;20;19,8;17,8;19,8;19,5;17,9;17,7;12,8;90;88;88;66;6;2,9;
2024-10-29;0200;0;1018,4;1019,2;1018,4;1018;-3,5;20;19,8;17,3;19,9;19,7;17,8;17,3;12,8;88;85;86;63;5,6;2,4;
2024-10-29;0300;0;1018;1018,8;1018,4;1018;-3,5;20;19,2;17,4;19,9;19,2;17,5;17,2;12,8;89;85;89;76;5,3;1,9;
2024-10-29;0400;0;1017,4;1018,2;1018;1017,4;-3,5;20;19,2;17,8;19,2;19;17,8;17,4;12,8;91;89;91;72;4,6;2,5;
2024-10-29;0500;0;1017;1017,8;1017,4;1016,9;-3,5;20;19,3;17,5;19,5;19,2;17,7;17,4;12,8;91;89;89;69;6,4;2,8;
2024-10-29;0600;0;1017;1017,8;1017;1016,9;-3,5;20;19,5;17,5;19,6;19,3;17,7;17,5;12,7;90;88;88;72;6,4;1,8;
2024-10-29;0700;0;1017,1;1017,9;1017,1;1016,9;-2,4;20;19,6;17,5;19,6;19,5;17,6;17,4;12,7;88;87;88;83;4,7;2,4;
2024-10-29;0800;0;1017,1;1017,9;1017,1;1017,1;-3,2;20;19,2;17,3;19,6;19,2;17,6;17,2;12,7;89;88;89;86;4,9;2,4;
2024-10-29;0900;0;1017,7;1018,5;1017,7;1017,1;20,2;20;19,1;17,3;19,2;18,9;17,4;17,1;12,7;90;88;89;89;4,8;1,8;
2024-10-29;1000;0;1018,1;1018,9;1018,2;1017,7;464,1;20;20,7;17,9;20,7;19;18,1;17,2;13,1;90;84;84;92;5,7;3,1;
2024-10-29;1100;0;1018,2;1019;1018,3;1018,1;1291,6;22;21,9;18,2;21,9;20,7;18,3;17,7;13,2;84;79;80;90;6,7;3,6;
2024-10-29;1200;0;1018,3;1019,1;1018,3;1018,1;2056,1;23;22,2;18,1;22,6;21,8;18,3;17,7;13,3;80;76;78;88;7,3;3,8;
2024-10-29;1300;0;1018,3;1019,1;1018,5;1018,3;2642,8;24;22,7;18,7;23,6;22,2;19,5;18;13,3;79;75;78;98;7;3,7;
2024-10-29;1400;0;1018,4;1019,2;1018,5;1018,3;3083,9;25;23;18,9;23,8;22,3;19,7;18,4;13,2;80;75;77;102;6,9;3,6;
2024-10-29;1500;0;1018,2;1019;1018,4;1017,9;3460,6;25;23,4;18,6;23,9;22,6;19,9;18,2;13,3;80;75;75;99;7,2;3,6;
2024-10-29;1600;0;1017,7;1018,5;1018,2;1017,6;3679,1;26;23,4;18,8;24,3;23,2;19,9;18,6;13,2;78;74;76;96;7,9;4,2;
2024-10-29;1700;0;1017,5;1018,3;1017,7;1017,5;3212,2;26;23,3;19,2;24,1;22,9;19,9;18,5;13,4;79;74;78;96;8;4;
2024-10-29;1800;0;1017,3;1018,1;1017,6;1017,3;2590,5;26;23,3;19;23,9;22,9;19,7;18,7;13,4;79;75;77;100;7,8;3,4;
2024-10-29;1900;0;1016,9;1017,7;1017,4;1016,8;1853,9;26;23,2;19,3;23,9;22,8;19,8;18,7;13,2;81;75;78;108;7,6;3,2;
2024-10-29;2000;0;1017,1;1017,9;1017,1;1016,9;1332,2;25;22;19,2;23,3;22;20;19;13,1;85;78;84;111;8,2;2,9;
2024-10-29;2100;0;1017,1;1017,9;1017,3;1017,1;489,3;24;21,5;19,4;22,1;21,4;19,5;19,1;13,1;88;84;88;99;7;2,9;
2024-10-29;2200;0;1017,3;1018,1;1017,3;1017,1;120,9;23;20,7;19,4;21,5;20,7;19,4;19,2;12,9;92;87;92;93;7;2,6;
2024-10-29;2300;0;1017,6;1018,4;1017,6;1017,3;-3,4;22;20,7;19,5;20,8;20,6;19,6;19,4;12,8;93;92;93;90;6,4;2,8;

