Nome: SANTANA DO LIVRAMENTO
Codigo Estacao: A804
Latitude: -30.75055555
Longitude: -55.40138888
Altitude: 196
Situacao: Operante
Data Inicial: 2024-10-29
Data Final: 2024-10-29
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;PRECIPITACAO TOTAL, HORARIO(mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA(mB);PRESSAO ATMOSFERICA REDUZIDA NIVEL DO MAR, AUT(mB);PRESSAO ATMOSFERICA MAX.NA HORA ANT. (AUT)(mB);PRESSAO ATMOSFERICA MIN. NA HORA ANT. (AUT)(mB);RADIACAO GLOBAL(Kj/m²);TEMPERATURA DA CPU DA ESTACAO(°C);TEMPERATURA DO AR - BULBO SECO, HORARIA(°C);TEMPERATURA DO PONTO DE ORVALHO(°C);TEMPERATURA MAXIMA NA HORA ANT. (AUT)(°C);TEMPERATURA MINIMA NA HORA ANT. (AUT)(°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT)(°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT)(°C);TENSAO DA BATERIA DA ESTACAO(V);UMIDADE REL. MAX. NA HORA ANT. (AUT)(%);UMIDADE REL. MIN. NA HORA ANT. (AUT)(%);UMIDADE RELATIVA DO AR, HORARIA(%);VENTO, DIRECAO HORARIA (gr)(° (gr));VENTO, RAJADA MAXIMA(m/s);VENTO, VELOCIDADE HORARIA(m/s);
2024-10-29;0000;0;994,4;1017,7;994,4;994;-3,5;20;17,8;12,6;19,2;17,7;12,6;11,6;12,2;71;62;71;184;3,5;2,3;
2024-10-29;0100;0;994,6;1018;994,7;994,4;-3,5;19;17,4;12,7;17,9;17,1;12,8;12,6;12,2;75;71;74;183;3,3;2,1;
2024-10-29;0200;0;994,7;1018,1;994,8;994,6;-3,5;18;16,9;12,3;18;16,9;12,7;12,3;12,1;74;70;74;189;3,2;2,3;
2024-10-29;0300;0;994,5;1018;994,7;994,5;-3,5;18;15,5;12,2;16,9;15,5;12,5;12,2;12,1;81;74;81;176;3,3;2,4;
2024-10-29;0400;0;994,4;1018;994,5;994,3;-3,5;17;14,6;12,1;15,5;14,5;12,3;12;12,1;85;81;85;177;3,3;2,6;
2024-10-29;0500;0;994,2;1017,8;994,4;994,2;-3,5;16;14,3;12,5;14,6;14;12,6;12;12,1;89;85;89;180;3,5;2,6;
2024-10-29;0600;0;994,1;1017,8;994,3;994,1;-3,5;16;13,8;12,6;14,5;13,8;12,9;12,4;12,1;92;89;92;183;3,2;1,9;
2024-10-29;0700;0;994,1;1017,8;994,1;994;-3,5;15;13,9;12,8;14,1;13,8;13;12,5;12;93;92;93;191;2,7;1,8;
2024-10-29;0800;0;994,6;1018,3;994,6;994,1;-3,5;15;13,8;12,8;14,1;13,8;13;12,8;12;94;93;94;192;2,5;1,4;
2024-10-29;0900;0;995,1;1018,8;995,1;994,6;4,9;15;13,6;12,8;14,1;13,6;13,2;12,8;12;95;94;95;187;2,3;1,8;
2024-10-29;1000;0;995,5;1019,1;995,5;995,1;345,2;15;15,3;14,3;15,3;13,6;14,3;12,8;12,1;95;94;94;180;2,6;1,3;
2024-10-29;1100;0;995,6;1018,9;995,7;995,5;1157,7;18;18,4;16;18,4;15,3;16,1;14,3;12,6;94;85;86;123;2,5;,9;
2024-10-29;1200;0;995,7;1018,9;995,7;995,6;1978,5;21;20,3;15,9;20,6;18,4;17,1;15,5;13;86;76;76;103;3,5;1,2;
2024-10-29;1300;0;995,8;1018,8;995,8;995,6;2664,5;23;21,9;14,8;22,3;20;17;14,7;13;80;64;64;164;4,7;2,4;
2024-10-29;1400;0;995,7;1018,7;995,8;995,7;3185,3;25;22,6;15,2;23,4;21,8;16,2;13,9;13,1;69;57;63;142;6,2;3;
2024-10-29;1500;0;995,3;1018,3;995,7;995,3;3487,1;26;22,8;14,8;23,6;22,5;16,6;14,6;13,2;67;59;61;151;6,7;3;
2024-10-29;1600;0;994,8;1017,7;995,3;994,8;3586,6;26;24,1;14,5;24,2;22,7;16,2;13,6;13,3;64;53;55;150;6,4;2,7;
2024-10-29;1700;0;994,5;1017,3;994,8;994,5;3478,2;27;24,7;12,4;25;23,6;16,4;11,7;13,3;61;44;46;148;6,5;2,7;
2024-10-29;1800;0;993,7;1016,5;994,5;993,6;3175,6;27;25;11,5;25,2;24,5;13,8;10,8;13,3;51;39;43;157;7,6;4,4;
2024-10-29;1900;0;993,1;1015,8;993,7;993,1;2637,2;28;25,1;12,8;25,5;24,9;13,7;10,5;13,3;50;39;46;150;7,6;4,1;
2024-10-29;2000;0;993,1;1015,9;993,1;992,9;1914,5;27;24,8;11,4;25,3;24,7;13,9;11,4;12,8;52;42;43;148;8,2;3,8;
2024-10-29;2100;0;993;1015,8;993,1;992,9;1099,8;27;23,6;13,6;24,8;23,6;14,4;11,2;12,3;55;43;53;152;8,1;3,6;
2024-10-29;2200;0;993;1016,1;993,1;993;248,4;25;20,5;14,5;23,6;20,5;14,6;13,1;12,3;68;52;68;156;7,1;2,6;
2024-10-29;2300;0;993,3;1016,6;993,3;993;-1,6;22;18,2;14,5;20,5;18,2;14,6;14,3;12,2;79;68;79;172;4,3;2,6;

