Nome: PORTO ALEGRE - JARDIM BOTANICO
Codigo Estacao: A801
Latitude: -30.05361111
Longitude: -51.17472221
Altitude: 41.18
Situacao: Operante
Data Inicial: 2024-10-30
Data Final: 2024-10-30
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;PRECIPITACAO TOTAL, HORARIO(mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA(mB);PRESSAO ATMOSFERICA REDUZIDA NIVEL DO MAR, AUT(mB);PRESSAO ATMOSFERICA MAX.NA HORA ANT. (AUT)(mB);PRESSAO ATMOSFERICA MIN. NA HORA ANT. (AUT)(mB);RADIACAO GLOBAL(Kj/m²);TEMPERATURA DA CPU DA ESTACAO(°C);TEMPERATURA DO AR - BULBO SECO, HORARIA(°C);TEMPERATURA DO PONTO DE ORVALHO(°C);TEMPERATURA MAXIMA NA HORA ANT. (AUT)(°C);TEMPERATURA MINIMA NA HORA ANT. (AUT)(°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT)(°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT)(°C);TENSAO DA BATERIA DA ESTACAO(V);UMIDADE REL. MAX. NA HORA ANT. (AUT)(%);UMIDADE REL. MIN. NA HORA ANT. (AUT)(%);UMIDADE RELATIVA DO AR, HORARIA(%);VENTO, DIRECAO HORARIA (gr)(° (gr));VENTO, RAJADA MAXIMA(m/s);VENTO, VELOCIDADE HORARIA(m/s);
2024-10-30;0000;0;1010,9;1015,9;1010,9;1010,3;-3,2;24;22,1;19,1;22,3;22,1;19,2;19;12,9;84;82;83;119;5,5;1,6;
2024-10-30;0100;0;1011,1;1016,1;1011,1;1010,9;-3,3;24;22;19;22,1;21,9;19,2;19;12,9;84;83;83;114;6,9;2,2;
2024-10-30;0200;0;1011;1016;1011,1;1011;-3,5;23;21,7;19;22;21,7;19,1;18,9;12,8;84;83;84;103;7,9;2,2;
2024-10-30;0300;0;1010,6;1015,6;1011;1010,6;-3,6;23;21,4;19;21,8;21,4;19;18,9;12,8;86;84;86;112;8,3;1,8;
2024-10-30;0400;0;1010,4;1015,4;1010,6;1010,4;-3,6;22;21;18,9;21,4;21;19;18,9;12,8;88;86;88;120;6,6;2,1;
2024-10-30;0500;0;1009,8;1014,8;1010,5;1009,8;-3,6;22;20,9;18,9;21,1;20,8;18,9;18,8;12,8;89;88;89;133;6,6;1,6;
2024-10-30;0600;0;1009,4;1014,4;1009,8;1009,4;-3,6;22;20,7;18,9;20,9;20,7;19;18,8;12,8;89;89;89;131;6,1;1,6;
2024-10-30;0700;0;1009,6;1014,6;1009,6;1009,4;-3,6;22;20,7;18,8;20,8;20,6;18,9;18,8;12,8;90;89;89;110;5,1;1,9;
2024-10-30;0800;0;1009,9;1014,9;1009,9;1009,6;-3,6;22;20,6;18,7;20,8;20,5;18,9;18,7;12,7;90;89;89;131;5,9;1,4;
2024-10-30;0900;0;1010,4;1015,4;1010,4;1009,8;17,6;21;20,6;18,8;20,7;20,5;18,8;18,7;12,8;90;89;89;139;5;1,7;
2024-10-30;1000;0;1011,3;1016,3;1011,3;1010,4;465,2;22;22,1;19,1;22,2;20,6;19,2;18,8;13,4;89;83;83;116;6,6;1,9;
2024-10-30;1100;0;1011,7;1016,7;1011,7;1011,3;1230,5;24;24,2;19,4;24,4;22,1;19,9;18,9;13,3;83;74;74;113;7,4;1,7;
2024-10-30;1200;0;1011,6;1016,6;1011,8;1011,6;1718,5;26;24,5;19,2;25,1;23,7;20,2;19;13,3;77;71;72;116;8,5;1,5;
2024-10-30;1300;0;1011,6;1016,6;1011,7;1011,5;1296,3;27;25,2;19,7;25,3;24,1;20,1;19;13,4;75;71;72;118;7,5;1,9;
2024-10-30;1400;0;1011,1;1016;1011,6;1011,1;2055,4;27;27,2;20,3;27,2;25;20,4;18,9;13,3;73;65;66;122;9;2,5;
2024-10-30;1500;0;1010,4;1015,3;1011,1;1010,4;3173,9;29;27,7;19,8;27,9;26;20,7;18,5;13,3;67;61;62;107;9,8;2,2;
2024-10-30;1600;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2024-10-30;1700;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2024-10-30;1800;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2024-10-30;1900;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2024-10-30;2000;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2024-10-30;2100;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2024-10-30;2200;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2024-10-30;2300;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;

