Nome: SANTANA DO LIVRAMENTO
Codigo Estacao: A804
Latitude: -30.75055555
Longitude: -55.40138888
Altitude: 196
Situacao: Operante
Data Inicial: 2024-10-30
Data Final: 2024-10-30
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;PRECIPITACAO TOTAL, HORARIO(mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA(mB);PRESSAO ATMOSFERICA REDUZIDA NIVEL DO MAR, AUT(mB);PRESSAO ATMOSFERICA MAX.NA HORA ANT. (AUT)(mB);PRESSAO ATMOSFERICA MIN. NA HORA ANT. (AUT)(mB);RADIACAO GLOBAL(Kj/m²);TEMPERATURA DA CPU DA ESTACAO(°C);TEMPERATURA DO AR - BULBO SECO, HORARIA(°C);TEMPERATURA DO PONTO DE ORVALHO(°C);TEMPERATURA MAXIMA NA HORA ANT. (AUT)(°C);TEMPERATURA MINIMA NA HORA ANT. (AUT)(°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT)(°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT)(°C);TENSAO DA BATERIA DA ESTACAO(V);UMIDADE REL. MAX. NA HORA ANT. (AUT)(%);UMIDADE REL. MIN. NA HORA ANT. (AUT)(%);UMIDADE RELATIVA DO AR, HORARIA(%);VENTO, DIRECAO HORARIA (gr)(° (gr));VENTO, RAJADA MAXIMA(m/s);VENTO, VELOCIDADE HORARIA(m/s);
2024-10-30;0000;0;993,6;1016,9;993,6;993,3;-3,5;20;17,6;15,2;18,3;17,4;15,2;14,6;12,2;86;79;86;168;4,8;3,5;
2024-10-30;0100;0;993,8;1017,1;993,9;993,6;-3,5;19;18,6;15,5;18,6;17,4;15,5;15;12,2;86;82;82;157;6;3,3;
2024-10-30;0200;0;994,1;1017,4;994,2;993,8;-3,5;20;18,4;15,9;18,9;18,3;15,9;15,4;12,2;85;81;85;150;6;3,2;
2024-10-30;0300;0;994,2;1017,5;994,2;994;-3,5;19;17,9;15,9;18,5;17,8;16,1;15,8;12,2;89;85;88;150;5,9;2,5;
2024-10-30;0400;0;993,9;1017,3;994,2;993,9;-3,5;19;17,3;15,7;17,9;17,3;16;15,6;12,1;90;88;90;145;5,2;2;
2024-10-30;0500;0;993,8;1017,2;994,1;993,8;-3,5;18;16,4;15,3;17,3;16;15,8;14,7;12,1;93;90;93;149;4,4;1,8;
2024-10-30;0600;0;993,4;1016,9;993,8;993,4;-3,5;18;15,9;15;16,6;15,8;15,5;14,9;12,1;95;93;95;152;3,6;1,7;
2024-10-30;0700;0;993,5;1017,1;993,5;993,2;-3,5;17;14,9;14,2;15,9;14,8;15,1;14,1;12,1;96;95;96;167;3,5;2,4;
2024-10-30;0800;0;993,7;1017,3;993,7;993,5;-3,5;16;14,9;14,3;14,9;14,4;14,3;13,8;12;96;96;96;168;4,2;2,2;
2024-10-30;0900;0;994,1;1017,7;994,1;993,7;5,7;16;14,4;13,9;14,9;14,2;14,3;13,6;12;96;96;96;187;4,2;2,1;
2024-10-30;1000;,2;994,7;1018,2;994,7;994,1;371,7;17;16,4;15,7;16,4;14,2;15,7;13,7;12,1;96;96;96;163;3,4;1,7;
2024-10-30;1100;0;995,1;1018,4;995,2;994,7;1028,8;18;19;17,3;19;16,3;17,9;15,7;12,7;96;90;90;118;6,1;3,2;
2024-10-30;1200;0;995;1018,1;995,2;995;1489,9;21;20,6;17,2;20,8;19;17,7;16,7;12,7;90;81;81;108;8,4;4,8;
2024-10-30;1300;0;994,5;1017,5;995;994,5;2555,9;23;21,7;16,7;22,4;20,5;17,9;16,6;12,7;82;72;73;103;8,8;5,7;
2024-10-30;1400;0;994,1;1017;994,6;994,1;2716,2;25;23,4;16,5;24,2;21,6;18,4;16,3;13,2;74;63;65;117;10,8;4,5;
2024-10-30;1500;0;993,5;1016,2;994,1;993,5;3174,7;26;25,5;16,4;25,7;23,4;17,9;15,8;13,2;68;56;57;96;9,8;5,4;
2024-10-30;1600;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2024-10-30;1700;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2024-10-30;1800;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2024-10-30;1900;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2024-10-30;2000;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2024-10-30;2100;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2024-10-30;2200;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2024-10-30;2300;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;

