Nome: PLANALTO
Codigo Estacao: A855
Latitude: -25.72194443
Longitude: -53.74805555
Altitude: 399.1
Situacao: Operante
Data Inicial: 2024-10-30
Data Final: 2024-10-30
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;PRECIPITACAO TOTAL, HORARIO(mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA(mB);PRESSAO ATMOSFERICA REDUZIDA NIVEL DO MAR, AUT(mB);PRESSAO ATMOSFERICA MAX.NA HORA ANT. (AUT)(mB);PRESSAO ATMOSFERICA MIN. NA HORA ANT. (AUT)(mB);RADIACAO GLOBAL(Kj/m²);TEMPERATURA DA CPU DA ESTACAO(°C);TEMPERATURA DO AR - BULBO SECO, HORARIA(°C);TEMPERATURA DO PONTO DE ORVALHO(°C);TEMPERATURA MAXIMA NA HORA ANT. (AUT)(°C);TEMPERATURA MINIMA NA HORA ANT. (AUT)(°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT)(°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT)(°C);TENSAO DA BATERIA DA ESTACAO(V);UMIDADE REL. MAX. NA HORA ANT. (AUT)(%);UMIDADE REL. MIN. NA HORA ANT. (AUT)(%);UMIDADE RELATIVA DO AR, HORARIA(%);VENTO, DIRECAO HORARIA (gr)(° (gr));VENTO, RAJADA MAXIMA(m/s);VENTO, VELOCIDADE HORARIA(m/s);
2024-10-30;0000;0;967,2;1013;967,2;966,3;null;25;23,1;18,7;24,5;22,8;18,9;18,4;12,5;78;69;76;102;3,5;2,3;
2024-10-30;0100;0;967,3;1013;967,3;967,1;null;24;23,2;18,5;24,1;23;18,8;18,3;12,4;76;72;75;75;3,1;1,1;
2024-10-30;0200;0;967;1012,7;967,4;967;null;24;23,4;18,4;23,9;22,4;18,7;18,1;12,4;78;71;73;225;1,7;,6;
2024-10-30;0300;0;966,9;1013,1;967,1;966,9;null;23;20,4;17,3;24,2;20,4;18,4;17,3;12,4;82;69;82;151;2,6;,8;
2024-10-30;0400;0;966,7;1012,7;966,9;966,7;null;22;21,2;17,9;21,6;20,2;18,4;17,4;12,4;86;81;82;104;1,9;1,3;
2024-10-30;0500;0;966,7;1013;967,1;966,7;null;21;19,8;17,8;21,2;17,7;18,4;15,7;12,4;94;81;89;95;5,1;2,4;
2024-10-30;0600;0;966,5;1012,7;966,8;966,5;null;20;19,8;18,1;19,8;18,9;18,3;17,2;12,4;92;88;90;123;4,5;2,5;
2024-10-30;0700;0;966,6;1012,9;966,6;966,3;null;20;19,8;18;20,2;19,7;18,3;17,9;12,3;90;88;89;99;3,4;2,3;
2024-10-30;0800;0;967,1;1013,4;967,1;966,7;null;20;19,7;17,2;20,1;19,4;18,3;17,2;12,3;90;86;86;89;5,3;3,6;
2024-10-30;0900;0;967,5;1013,8;967,5;967,1;null;20;19,5;16,9;19,8;19;17,2;16,6;12,3;88;83;85;95;5,9;4,4;
2024-10-30;1000;0;968;1014,1;968;967,5;null;21;21,4;17,9;21,4;19,5;17,9;16,9;12,7;85;80;81;89;8;5,2;
2024-10-30;1100;0;968,5;1014,3;968,5;968;null;23;23,5;18,6;23,5;21,4;19;17,9;13,2;81;73;74;89;8,8;6,1;
2024-10-30;1200;0;968,4;1013,8;968,7;968,4;null;25;25,8;19,5;25,8;23,5;19,5;18,5;13,7;75;67;68;88;8,9;5,2;
2024-10-30;1300;0;968,3;1013,3;968,4;968,3;null;28;28,2;19,6;28,6;25,8;20,1;18,6;13,9;69;57;60;66;6,7;3,2;
2024-10-30;1400;0;968,1;1013;968,4;968;null;30;29;19;29,3;27,8;19,9;18,1;13,8;60;52;55;31;6,7;2,5;
2024-10-30;1500;0;967,3;1012;968,1;967,3;null;31;30;18,2;31,2;28,8;19,8;17,7;13,9;56;46;49;338;7;3,2;
2024-10-30;1600;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2024-10-30;1700;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2024-10-30;1800;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2024-10-30;1900;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2024-10-30;2000;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2024-10-30;2100;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2024-10-30;2200;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2024-10-30;2300;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;

