Nome: PORTO ALEGRE - JARDIM BOTANICO
Codigo Estacao: A801
Latitude: -30.05361111
Longitude: -51.17472221
Altitude: 41.18
Situacao: Operante
Data Inicial: 2024-11-08
Data Final: 2024-11-08
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;PRECIPITACAO TOTAL, HORARIO(mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA(mB);PRESSAO ATMOSFERICA REDUZIDA NIVEL DO MAR, AUT(mB);PRESSAO ATMOSFERICA MAX.NA HORA ANT. (AUT)(mB);PRESSAO ATMOSFERICA MIN. NA HORA ANT. (AUT)(mB);RADIACAO GLOBAL(Kj/m²);TEMPERATURA DA CPU DA ESTACAO(°C);TEMPERATURA DO AR - BULBO SECO, HORARIA(°C);TEMPERATURA DO PONTO DE ORVALHO(°C);TEMPERATURA MAXIMA NA HORA ANT. (AUT)(°C);TEMPERATURA MINIMA NA HORA ANT. (AUT)(°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT)(°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT)(°C);TENSAO DA BATERIA DA ESTACAO(V);UMIDADE REL. MAX. NA HORA ANT. (AUT)(%);UMIDADE REL. MIN. NA HORA ANT. (AUT)(%);UMIDADE RELATIVA DO AR, HORARIA(%);VENTO, DIRECAO HORARIA (gr)(° (gr));VENTO, RAJADA MAXIMA(m/s);VENTO, VELOCIDADE HORARIA(m/s);
2024-11-08;0000;1,4;1003,1;1008,1;1003,1;1002,4;-2,5;23;20,8;19,8;21,6;20,8;20,1;19,6;12,9;94;91;94;142;8,1;1,7;
2024-11-08;0100;,4;1004,2;1009,2;1004,2;1003,1;-1,3;22;19,6;18,5;20,8;19,6;19,9;18,5;12,8;94;93;94;146;11,6;3,2;
2024-11-08;0200;,4;1004,4;1009,4;1004,6;1004,1;-1,2;21;19,1;17,4;19,6;19;18,5;17,4;12,8;94;90;90;137;12,8;4,2;
2024-11-08;0300;0;1004,6;1009,6;1004,6;1004,3;-2,3;21;19,4;17,4;19,4;19,1;17,6;17,3;12,8;91;88;88;138;10,3;2,9;
2024-11-08;0400;,2;1004,6;1009,6;1004,8;1004,5;-3,3;20;18,5;17,1;19,4;18,5;17,5;17,1;12,8;91;88;91;137;10,9;3,9;
2024-11-08;0500;,4;1004,5;1009,5;1004,8;1004,4;-2,6;20;18,4;17,3;18,5;18,3;17,3;17;12,8;94;91;94;135;10,4;2,2;
2024-11-08;0600;0;1004,4;1009,4;1004,5;1004,3;-1,4;20;18,8;17,2;18,8;18,3;17,3;17,1;12,7;94;90;90;132;6,6;1,5;
2024-11-08;0700;0;1004,7;1009,7;1004,7;1004,3;-1,2;20;18,8;17,1;18,9;18,7;17,4;17,1;12,7;91;89;90;138;4,6;1,5;
2024-11-08;0800;,6;1005,1;1010,1;1005,2;1004,7;-2,2;20;18,2;17,2;18,8;18,2;17,4;17,1;12,7;94;90;94;136;4,4;1,4;
2024-11-08;0900;1,8;1005,6;1010,6;1005,6;1005,1;11;20;18,3;17,6;18,4;18,2;17,6;17,2;12,7;95;94;95;163;4,1;1;
2024-11-08;1000;,8;1006,5;1011,6;1006,5;1005,6;167,6;20;18,2;17,2;18,4;17,9;17,5;17,1;13,2;95;94;94;156;7,2;1,3;
2024-11-08;1100;1,4;1007;1012;1007;1006,5;513;20;18,5;17,2;18,9;18;17,8;16,9;13,3;94;92;92;153;7,5;1,5;
2024-11-08;1200;,2;1007,4;1012,4;1007,5;1007;622,4;21;19,9;17,6;19,9;18,3;18,1;17;13,4;93;86;87;157;4,4;1,3;
2024-11-08;1300;0;1007,7;1012,7;1007,7;1007,2;1385,5;22;20,1;16,5;21,7;19,9;18,5;16,2;13,3;88;76;80;141;6,8;2,4;
2024-11-08;1400;0;1007,9;1012,9;1007,9;1007,7;1299,1;23;21,4;16;21,8;20,1;17,7;14,9;13,3;83;66;71;149;7,1;2,1;
2024-11-08;1500;0;1008,2;1013,2;1008,2;1007,8;1924,6;24;22,1;15,3;22,9;21,5;16,9;15;13,3;72;64;66;154;8,3;2,7;
2024-11-08;1600;0;1008;1013;1008,2;1007,9;1954,5;25;22,8;14,6;23;21,3;16,1;14,4;13,3;70;60;60;155;9;2,4;
2024-11-08;1700;0;1007,7;1012,7;1008;1007,6;2004,2;26;23,1;14,4;23,3;21,8;16,1;13,6;13,3;66;56;58;158;9,6;2,1;
2024-11-08;1800;0;1007,7;1012,7;1007,8;1007,5;3093,7;26;23,8;15,4;24,2;23;16,1;13,5;13,3;62;53;60;161;8,6;1,9;
2024-11-08;1900;0;1007,6;1012,6;1007,8;1007,5;2059,1;26;23,1;13,5;23,9;22,3;15,3;13,4;13,3;63;54;55;162;9,4;2,2;
2024-11-08;2000;0;1007,6;1012,6;1007,6;1007,5;1263,9;26;22;13,5;23,1;21,9;14,3;13;13,3;60;55;59;152;7,3;1,9;
2024-11-08;2100;0;1007,6;1012,6;1007,7;1007,5;819,4;24;21,6;13,8;22;21,6;14,2;13,2;13,1;63;57;61;141;10,2;2,6;
2024-11-08;2200;0;1008,2;1013,2;1008,2;1007,6;115,7;23;19,9;13,7;21,6;19,9;14;13,1;13;68;61;68;140;8;,8;
2024-11-08;2300;0;1008,7;1013,8;1008,7;1008,2;-3,5;21;18,9;13,7;19,9;18,9;14;13,6;12,9;73;68;72;104;3,4;1;

