Nome: RIO GRANDE
Codigo Estacao: A802
Latitude: -32.07888888
Longitude: -52.16777777
Altitude: 4.92
Situacao: Operante
Data Inicial: 2024-11-08
Data Final: 2024-11-08
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;PRECIPITACAO TOTAL, HORARIO(mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA(mB);PRESSAO ATMOSFERICA REDUZIDA NIVEL DO MAR, AUT(mB);PRESSAO ATMOSFERICA MAX.NA HORA ANT. (AUT)(mB);PRESSAO ATMOSFERICA MIN. NA HORA ANT. (AUT)(mB);RADIACAO GLOBAL(Kj/m²);TEMPERATURA DA CPU DA ESTACAO(°C);TEMPERATURA DO AR - BULBO SECO, HORARIA(°C);TEMPERATURA DO PONTO DE ORVALHO(°C);TEMPERATURA MAXIMA NA HORA ANT. (AUT)(°C);TEMPERATURA MINIMA NA HORA ANT. (AUT)(°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT)(°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT)(°C);TENSAO DA BATERIA DA ESTACAO(V);UMIDADE REL. MAX. NA HORA ANT. (AUT)(%);UMIDADE REL. MIN. NA HORA ANT. (AUT)(%);UMIDADE RELATIVA DO AR, HORARIA(%);VENTO, DIRECAO HORARIA (gr)(° (gr));VENTO, RAJADA MAXIMA(m/s);VENTO, VELOCIDADE HORARIA(m/s);
2024-11-08;0000;0;1012,4;1013,2;1012,4;1011,6;-2,2;20;18,4;16,9;19,3;18,4;16,9;16,1;12,8;91;83;91;159;8,4;3,2;
2024-11-08;0100;1;1012,9;1013,7;1013;1012,4;-2,2;19;17,4;16,9;18,4;17,4;17,4;16,6;12,8;97;91;97;148;10,3;3,6;
2024-11-08;0200;0;1012,9;1013,7;1013;1012,8;-2,5;19;18,4;16,8;18,5;17,4;17,4;16,8;12,8;97;90;90;153;10,3;3,5;
2024-11-08;0300;0;1012,9;1013,7;1013,1;1012,7;-1,5;19;18,2;16,4;18,7;18,2;16,8;16,4;12,7;90;87;89;173;9,4;2,9;
2024-11-08;0400;0;1012,6;1013,4;1013;1012,6;-2,9;19;18,4;16,1;18,6;18,1;16,6;16;12,7;90;85;86;161;7,6;2,5;
2024-11-08;0500;0;1012,5;1013,3;1012,7;1012,4;-2,3;19;18,4;15;18,6;18,4;16,1;14,9;12,7;86;79;81;150;8,6;3;
2024-11-08;0600;0;1012,5;1013,3;1012,5;1012,4;-1,6;19;18,4;15;18,6;18,4;15,3;14,7;12,6;82;79;80;147;10,7;3,4;
2024-11-08;0700;0;1012,7;1013,5;1012,7;1012,4;-2,5;19;18,8;14,4;18,8;18,2;15,1;14,3;12,6;82;76;76;147;10,7;3,8;
2024-11-08;0800;0;1013,2;1014;1013,2;1012,5;-2,8;19;18,6;14,1;18,8;18,6;14,6;14,1;12,6;77;75;75;141;9;2,8;
2024-11-08;0900;0;1013,8;1014,6;1013,9;1013,2;39,1;19;18,5;13,7;18,6;18,1;14,1;13,5;12,7;76;73;74;143;7,7;2,9;
2024-11-08;1000;0;1014,4;1015,2;1014,4;1013,8;597,8;20;19,8;13,2;19,9;18,4;14,3;13,1;13,1;75;65;66;138;9,3;3,3;
2024-11-08;1100;0;1014,6;1015,4;1014,6;1014,4;1422,4;21;20,9;14;20,9;19,8;14,4;13,3;13,3;68;65;65;132;8,9;3,5;
2024-11-08;1200;0;1015,2;1016;1015,2;1014,6;2173,1;22;21,5;14,5;21,5;20,3;14,6;13,3;13,4;68;62;64;122;9,2;4;
2024-11-08;1300;,2;1015,4;1016,2;1015,4;1015,1;2897,7;23;22,1;14,7;22,4;21;15,5;13,6;13,4;66;61;63;141;9;3,1;
2024-11-08;1400;0;1015,6;1016,4;1015,6;1015,4;3113,9;24;21,9;15,1;23,1;21,2;16;14,1;13,2;68;61;65;151;9,1;3,4;
2024-11-08;1500;0;1015,7;1016,5;1015,8;1015,5;2902,7;24;22,5;14,6;23,5;21,4;16,5;14,6;13,4;71;60;61;150;7,3;2,5;
2024-11-08;1600;0;1015,5;1016,3;1015,8;1015,4;2658,8;24;21,7;15,1;22,8;21,6;16,2;14,8;13,3;68;61;66;146;8,3;3,1;
2024-11-08;1700;0;1015,3;1016,1;1015,6;1015,3;1741,5;24;21,1;14,7;22,7;21,1;16,8;14,6;13,3;71;63;67;126;7,7;3,4;
2024-11-08;1800;0;1014,9;1015,7;1015,3;1014,9;1173,9;24;21,4;15,7;22;20,7;16,5;14,9;13,4;72;67;70;140;7,6;3,1;
2024-11-08;1900;0;1014,8;1015,6;1015;1014,7;1060,2;23;20,5;14,9;22;20,5;16,1;14,6;13,2;72;66;70;149;8,8;2,9;
2024-11-08;2000;0;1014,8;1015,6;1014,8;1014,6;1263,6;23;20,5;14,9;22;20,2;16;14,3;13,1;71;66;70;169;8,9;2,8;
2024-11-08;2100;0;1014,6;1015,4;1014,8;1014,6;901,7;23;19,7;14,9;21,1;19,7;15,5;14,4;13,1;74;67;74;144;7,9;2,7;
2024-11-08;2200;0;1014,7;1015,5;1014,7;1014,5;165,1;21;18,6;14,3;19,9;18,6;15;14,2;12,9;76;72;76;155;6,6;1,7;
2024-11-08;2300;0;1015;1015,8;1015;1014,7;-2,9;20;18;14,5;18,6;18;14,7;14,3;12,8;80;76;80;150;5,1;1,1;

