Nome: SANTA MARIA
Codigo Estacao: A803
Latitude: -29.72499999
Longitude: -53.72055554
Altitude: 103.1
Situacao: Operante
Data Inicial: 2024-11-08
Data Final: 2024-11-08
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;PRECIPITACAO TOTAL, HORARIO(mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA(mB);PRESSAO ATMOSFERICA REDUZIDA NIVEL DO MAR, AUT(mB);PRESSAO ATMOSFERICA MAX.NA HORA ANT. (AUT)(mB);PRESSAO ATMOSFERICA MIN. NA HORA ANT. (AUT)(mB);RADIACAO GLOBAL(Kj/m²);TEMPERATURA DA CPU DA ESTACAO(°C);TEMPERATURA DO AR - BULBO SECO, HORARIA(°C);TEMPERATURA DO PONTO DE ORVALHO(°C);TEMPERATURA MAXIMA NA HORA ANT. (AUT)(°C);TEMPERATURA MINIMA NA HORA ANT. (AUT)(°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT)(°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT)(°C);TENSAO DA BATERIA DA ESTACAO(V);UMIDADE REL. MAX. NA HORA ANT. (AUT)(%);UMIDADE REL. MIN. NA HORA ANT. (AUT)(%);UMIDADE RELATIVA DO AR, HORARIA(%);VENTO, DIRECAO HORARIA (gr)(° (gr));VENTO, RAJADA MAXIMA(m/s);VENTO, VELOCIDADE HORARIA(m/s);
2024-11-08;0000;0;999,4;1011,6;999,4;998,6;-,5;23;20,7;17,4;21,1;20,7;17,6;17,1;12,6;82;78;81;141;9,6;3,1;
2024-11-08;0100;0;999,6;1011,9;999,6;999,3;-,3;23;20,3;17,3;20,7;20,3;17,6;17,3;12,6;84;81;83;141;7,4;3,9;
2024-11-08;0200;0;1000,2;1012,5;1000,2;999,6;,3;22;18,9;15,6;20,3;18,9;17,5;15,5;12,6;85;79;81;155;9;4,9;
2024-11-08;0300;0;1000,2;1012,5;1000,3;1000,1;,2;21;18,2;15,3;18,9;18,2;15,7;15,2;12,6;84;81;84;158;8,1;4,2;
2024-11-08;0400;0;1000,2;1012,6;1000,2;999,9;0;20;17,6;15,2;18,2;17,6;15,3;15,1;12,6;86;83;86;153;7,8;3,6;
2024-11-08;0500;0;999,8;1012,2;1000,2;999,8;-2;19;17,1;15,7;17,6;16,9;15,9;15,2;12,6;93;86;91;147;7;2,6;
2024-11-08;0600;0;999,5;1011,9;999,8;999,4;-,8;19;17,4;15,4;17,6;17,1;15,8;15,3;12,6;92;86;88;147;6,4;2,7;
2024-11-08;0700;0;1000;1012,4;1000;999,5;-,1;19;17,4;15,6;17,4;17,3;15,7;15,3;12,6;90;88;89;105;5,3;,7;
2024-11-08;0800;0;1000,4;1012,8;1000,4;1000;-,4;19;17,6;16;17,6;17,4;16;15,4;12,5;90;88;90;162;6,1;3,7;
2024-11-08;0900;0;1000,7;1013,1;1000,7;1000,4;13;19;17,6;16,2;17,8;17,6;16,3;16;12,5;92;90;92;151;8;3,6;
2024-11-08;1000;0;1001,3;1013,7;1001,4;1000,7;230,3;19;18,5;16;18,5;17,6;16,4;15,9;12,6;92;85;85;152;7;4,1;
2024-11-08;1100;0;1001,8;1014,1;1001,8;1001,3;672,6;20;19,6;16,3;19,6;18,5;16,5;15,7;13,4;86;80;81;144;8,1;4,3;
2024-11-08;1200;0;1002,1;1014,4;1002,2;1001,8;777,9;21;19,4;15,9;19,6;19,2;16,2;15,7;13,4;82;79;80;149;8,2;4,4;
2024-11-08;1300;0;1002,7;1015;1002,8;1002,1;1026,2;22;20,5;16,3;20,5;19,4;16,4;15,6;14,4;81;75;77;140;7,5;3,5;
2024-11-08;1400;0;1002,7;1015;1003;1002,7;1300,6;23;21,2;16,6;21,2;20,1;16,8;15,6;14,5;77;74;75;139;7,7;3,7;
2024-11-08;1500;0;1002,7;1014,9;1002,9;1002,7;2073,7;24;22,5;16,4;22,5;20,5;17;15,3;14,4;76;66;69;124;8,1;3,9;
2024-11-08;1600;0;1002,2;1014,4;1002,7;1002,2;2251;25;23;15,8;23,4;22,1;16,4;15;14,4;69;61;64;117;8;2,7;
2024-11-08;1700;0;1001,8;1013,9;1002,2;1001,8;2009,8;26;23,7;16,3;24,6;22,6;16,9;15;14,4;66;58;64;134;7,4;3,2;
2024-11-08;1800;0;1001,4;1013,5;1001,8;1001,3;2165,7;27;23,5;15,5;25,2;23,4;16,9;15,3;13,9;64;56;61;146;9,5;4,2;
2024-11-08;1900;0;1001;1013,1;1001,4;1000,9;2396,1;28;24,8;15,6;24,8;23,3;16,5;14,3;14,4;62;53;57;146;9,5;3,7;
2024-11-08;2000;0;1000,5;1012,6;1001;1000,5;1951,7;28;24,7;14,5;25;24,5;15,5;13,4;13,8;57;50;53;131;7,5;3,6;
2024-11-08;2100;0;1000,7;1012,8;1000,7;1000,5;1044,3;27;23,7;14;24,7;23,7;14,7;13,2;13,4;54;50;54;134;7,3;2,7;
2024-11-08;2200;0;1001;1013,2;1001,1;1000,7;228,4;26;22;13,5;23,8;22;13,8;13,2;13;58;53;58;123;10,2;1,8;
2024-11-08;2300;0;1001,8;1014,1;1001,8;1000,9;-1,6;24;21;12,9;22;20,9;13,5;12,8;12,7;61;58;60;125;4,9;2;

