Nome: SANTANA DO LIVRAMENTO
Codigo Estacao: A804
Latitude: -30.75055555
Longitude: -55.40138888
Altitude: 196
Situacao: Operante
Data Inicial: 2024-11-08
Data Final: 2024-11-08
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;PRECIPITACAO TOTAL, HORARIO(mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA(mB);PRESSAO ATMOSFERICA REDUZIDA NIVEL DO MAR, AUT(mB);PRESSAO ATMOSFERICA MAX.NA HORA ANT. (AUT)(mB);PRESSAO ATMOSFERICA MIN. NA HORA ANT. (AUT)(mB);RADIACAO GLOBAL(Kj/m²);TEMPERATURA DA CPU DA ESTACAO(°C);TEMPERATURA DO AR - BULBO SECO, HORARIA(°C);TEMPERATURA DO PONTO DE ORVALHO(°C);TEMPERATURA MAXIMA NA HORA ANT. (AUT)(°C);TEMPERATURA MINIMA NA HORA ANT. (AUT)(°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT)(°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT)(°C);TENSAO DA BATERIA DA ESTACAO(V);UMIDADE REL. MAX. NA HORA ANT. (AUT)(%);UMIDADE REL. MIN. NA HORA ANT. (AUT)(%);UMIDADE RELATIVA DO AR, HORARIA(%);VENTO, DIRECAO HORARIA (gr)(° (gr));VENTO, RAJADA MAXIMA(m/s);VENTO, VELOCIDADE HORARIA(m/s);
2024-11-08;0000;0;991;1014,3;991;990,4;-3,5;19;16,9;11,7;18,6;16,9;12,4;11,6;11,8;72;66;71;154;9;4,4;
2024-11-08;0100;0;991,5;1014,9;991,5;990,9;-3,5;18;15,7;11,2;16,9;15,5;11,7;11,1;11,8;76;71;75;164;8,2;3,9;
2024-11-08;0200;0;992;1015,6;992;991,5;-3,5;17;14,4;11,1;15,7;14,4;11,3;11,1;11,8;81;74;81;172;7,7;3,2;
2024-11-08;0300;0;991,7;1015,3;992,1;991,6;-3,5;16;14;11,3;14,8;13,8;11,7;11,1;11,8;84;81;84;163;5,5;3,3;
2024-11-08;0400;0;991,5;1015,1;991,8;991,5;-3,5;15;14,2;11,8;14,4;13,3;12;11;11,7;87;84;85;167;5,3;3,7;
2024-11-08;0500;0;991;1014,6;991,6;991;-3,5;15;13,7;11,5;14,2;13,5;11,8;11,3;11,7;87;85;87;173;5,8;4,3;
2024-11-08;0600;0;991,3;1014,9;991,3;991;-3,5;15;13,6;11,4;14,1;13,6;12;11,4;11,7;87;86;87;168;7;4,3;
2024-11-08;0700;0;991,6;1015,2;991,7;991,3;-3,5;15;14;11,3;14,1;13,6;11,7;11,3;11,7;87;83;84;161;6,7;4;
2024-11-08;0800;0;992;1015,7;992;991,6;-3,5;15;13,2;10,5;14;13,2;11,3;10,5;11,7;85;83;84;160;6,7;2,9;
2024-11-08;0900;0;992,5;1016,2;992,5;992;17,6;14;12,4;10,2;13,1;11,9;10,5;9,7;11,7;87;84;86;180;5,2;3;
2024-11-08;1000;0;992,7;1016,3;992,7;992,5;478,9;15;14;10,5;14;12,4;10,6;10,1;11,8;87;79;80;158;5,7;3,3;
2024-11-08;1100;0;993,3;1016,7;993,3;992,7;1284,1;17;16,2;11,1;16,4;14;11,6;10,5;12,3;80;72;72;151;8,5;4;
2024-11-08;1200;0;993,4;1016,7;993,5;993,2;1871,7;19;18,3;11,4;18,6;16,1;12,3;11,2;12,5;73;64;64;146;8,2;4,4;
2024-11-08;1300;0;993,7;1016,9;993,8;993,4;2685,9;21;19,9;11,1;20,1;18,3;12;10,5;12,7;66;55;57;149;8,3;3,5;
2024-11-08;1400;0;993,5;1016,5;993,8;993,5;3272,4;23;21,4;11,5;21,4;19,5;12,2;10,4;12,7;59;52;54;149;8,5;4,3;
2024-11-08;1500;0;993,3;1016,4;993,6;993,3;2630,6;24;21,1;11,2;21,9;20,3;13,1;10,6;12,8;59;52;53;152;9,8;4,6;
2024-11-08;1600;0;992,7;1015,7;993,3;992,7;3335,7;25;22,1;10,9;23,1;21;12,9;10,7;12,7;57;47;49;146;10,6;4;
2024-11-08;1700;0;992,2;1015;992,7;992,2;3401,5;26;23,4;11,5;23,8;21,9;13,2;10,6;12,7;53;45;47;139;10;5,3;
2024-11-08;1800;0;991,8;1014,6;992,2;991,8;3107;26;23,5;10,5;24,5;22,3;11,9;9,5;12,8;50;39;44;152;10;4,9;
2024-11-08;1900;0;991,2;1014,1;991,8;991,2;2848,9;27;22,8;9,2;24,4;22,8;12;8,8;12,4;47;38;42;134;10,4;5;
2024-11-08;2000;0;990,8;1013,6;991,2;990,8;1641,2;26;23,4;9,8;24,2;22,2;11;9,1;12,5;47;39;42;147;8,3;2,8;
2024-11-08;2100;0;990,8;1013,6;991;990,8;1104;25;23,3;9,6;23,7;22;10,6;8,4;12,2;45;38;42;127;7,7;3,8;
2024-11-08;2200;0;991,1;1014,2;991,1;990,9;364,6;24;20;10,4;23,3;20;10,4;9;12,1;54;41;54;152;6,3;2,3;
2024-11-08;2300;0;991,5;1014,8;991,6;991,1;5,3;22;17,9;11,3;20;17,8;11,4;10,3;12;65;54;65;162;4,2;2,4;

