Nome: PORTO ALEGRE - JARDIM BOTANICO
Codigo Estacao: A801
Latitude: -30.05361111
Longitude: -51.17472221
Altitude: 41.18
Situacao: Operante
Data Inicial: 2024-10-29
Data Final: 2024-10-29
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;PRECIPITACAO TOTAL, HORARIO(mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA(mB);PRESSAO ATMOSFERICA REDUZIDA NIVEL DO MAR, AUT(mB);PRESSAO ATMOSFERICA MAX.NA HORA ANT. (AUT)(mB);PRESSAO ATMOSFERICA MIN. NA HORA ANT. (AUT)(mB);RADIACAO GLOBAL(Kj/m²);TEMPERATURA DA CPU DA ESTACAO(°C);TEMPERATURA DO AR - BULBO SECO, HORARIA(°C);TEMPERATURA DO PONTO DE ORVALHO(°C);TEMPERATURA MAXIMA NA HORA ANT. (AUT)(°C);TEMPERATURA MINIMA NA HORA ANT. (AUT)(°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT)(°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT)(°C);TENSAO DA BATERIA DA ESTACAO(V);UMIDADE REL. MAX. NA HORA ANT. (AUT)(%);UMIDADE REL. MIN. NA HORA ANT. (AUT)(%);UMIDADE RELATIVA DO AR, HORARIA(%);VENTO, DIRECAO HORARIA (gr)(° (gr));VENTO, RAJADA MAXIMA(m/s);VENTO, VELOCIDADE HORARIA(m/s);
2024-10-29;0000;0;1010,5;1015,5;1010,7;1010,5;-3,6;22;20,3;17,4;21;20,3;17,4;17,3;12,9;83;79;83;74;7,9;1,9;
2024-10-29;0100;0;1010,8;1015,8;1010,8;1010,5;-3,6;22;20,1;17,7;20,3;20;17,7;17,4;12,9;86;83;86;70;7;2,4;
2024-10-29;0200;0;1010,6;1015,6;1010,8;1010,6;-3,6;21;19,9;17,8;20,1;19,9;17,8;17,7;12,8;87;86;87;127;7,5;2,6;
2024-10-29;0300;0;1010,3;1015,3;1010,6;1010,3;-3,6;21;19,7;17,8;19,9;19,7;17,8;17,7;12,8;89;87;89;136;7,1;1,7;
2024-10-29;0400;0;1010,1;1015,2;1010,3;1010,1;-3,6;20;19,3;17,8;19,7;19,2;17,8;17,6;12,8;92;89;91;105;3,8;1,1;
2024-10-29;0500;0;1009,8;1014,9;1010,2;1009,8;-3,6;20;18,8;17,7;19,3;18,7;17,9;17,4;12,8;93;91;93;130;3,5;1,1;
2024-10-29;0600;0;1009,6;1014,7;1009,8;1009,6;-3,6;20;19;18;19;18,6;18;17,5;12,8;94;93;94;136;3,5;1,1;
2024-10-29;0700;0;1009,7;1014,8;1009,7;1009,6;-3,6;20;18,9;17,9;19;18,9;18;17,9;12,7;94;94;94;132;3,9;1,4;
2024-10-29;0800;0;1010,1;1015,2;1010,1;1009,7;-3,5;20;18,8;17,9;19;18,8;18;17,9;12,7;95;94;94;131;3,6;,9;
2024-10-29;0900;0;1010,8;1015,9;1010,8;1010,1;19,6;20;18,9;18;18,9;18,6;18;17,7;12,7;95;94;95;98;2,5;,6;
2024-10-29;1000;0;1011,7;1016,8;1011,7;1010,8;162,6;20;19,2;17,7;19,4;18,9;18,2;17,7;13,1;95;91;91;338;2,4;,7;
2024-10-29;1100;0;1011,9;1016,9;1011,9;1011,7;531,5;21;20,6;17,5;20,6;19,2;18,1;17,2;13,3;92;82;82;165;2;,5;
2024-10-29;1200;0;1012;1017;1012,1;1011,9;796,1;23;21;17,4;21,2;20,6;18,1;17,2;13,3;83;80;80;342;1,9;1,1;
2024-10-29;1300;0;1012,1;1017,1;1012,2;1012;1015,2;24;22,9;17,7;22,9;21;18,9;17,2;13,3;83;71;72;177;2,3;,7;
2024-10-29;1400;0;1011,8;1016,8;1012,1;1011,8;3053,8;26;24,7;17,8;25,3;22,8;19,2;17,1;13,3;74;63;66;68;2,7;1,1;
2024-10-29;1500;0;1011,1;1016;1011,8;1011,1;3484,5;28;25,8;17,6;26,3;24,5;19;17;13,3;69;59;61;348;3,5;1,1;
2024-10-29;1600;0;1010,4;1015,3;1011,1;1010,4;2888,9;29;27,5;18,5;28,2;25,7;18,9;17,1;13,3;63;52;58;159;2,8;,9;
2024-10-29;1700;0;1009,6;1014,5;1010,4;1009,6;2996,3;30;28,7;18,7;29;26,6;20;17,6;13,3;61;53;55;257;4,5;2,1;
2024-10-29;1800;0;1009,1;1014;1009,6;1009,1;1966,1;31;28,9;19,7;29;26,7;20,3;18;13,3;64;53;58;169;5,6;1,6;
2024-10-29;1900;0;1008,7;1013,6;1009,1;1008,6;2499,8;31;28;19,1;29,2;27,9;20,4;18,8;13,3;61;55;58;158;7,5;2;
2024-10-29;2000;0;1009;1013,9;1009;1008,6;1635,5;31;26,7;19,4;28,1;26,6;19,7;18,9;13,3;64;58;64;150;7,6;2,1;
2024-10-29;2100;0;1009,3;1014,3;1009,3;1009;741,3;29;24,7;18,8;26,8;24,7;19,5;18,8;13,1;71;63;70;130;8,7;3;
2024-10-29;2200;0;1009,9;1014,9;1009,9;1009,3;71,1;26;23,2;18,9;24,7;23,2;18,9;18,7;12,9;77;70;77;131;8,2;2,7;
2024-10-29;2300;0;1010,3;1015,3;1010,3;1009,9;-3,6;25;22,3;19,1;23,1;22,3;19,1;18,9;12,9;82;77;82;129;7,3;2,1;

