Nome: SANTA MARIA
Codigo Estacao: A803
Latitude: -29.72499999
Longitude: -53.72055554
Altitude: 103.1
Situacao: Operante
Data Inicial: 2024-10-29
Data Final: 2024-10-29
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;PRECIPITACAO TOTAL, HORARIO(mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA(mB);PRESSAO ATMOSFERICA REDUZIDA NIVEL DO MAR, AUT(mB);PRESSAO ATMOSFERICA MAX.NA HORA ANT. (AUT)(mB);PRESSAO ATMOSFERICA MIN. NA HORA ANT. (AUT)(mB);RADIACAO GLOBAL(Kj/m²);TEMPERATURA DA CPU DA ESTACAO(°C);TEMPERATURA DO AR - BULBO SECO, HORARIA(°C);TEMPERATURA DO PONTO DE ORVALHO(°C);TEMPERATURA MAXIMA NA HORA ANT. (AUT)(°C);TEMPERATURA MINIMA NA HORA ANT. (AUT)(°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT)(°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT)(°C);TENSAO DA BATERIA DA ESTACAO(V);UMIDADE REL. MAX. NA HORA ANT. (AUT)(%);UMIDADE REL. MIN. NA HORA ANT. (AUT)(%);UMIDADE RELATIVA DO AR, HORARIA(%);VENTO, DIRECAO HORARIA (gr)(° (gr));VENTO, RAJADA MAXIMA(m/s);VENTO, VELOCIDADE HORARIA(m/s);
2024-10-29;0000;0;1003,6;1016;1003,6;1003,3;-3,6;22;19,1;16,8;20,3;19;17,3;16,6;12,6;90;81;87;57;1;,3;
2024-10-29;0100;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2024-10-29;0200;0;1004,3;1016,7;1004,4;1004;-3,4;20;17,9;16,9;18,6;17,5;17,8;16,7;12,6;97;91;94;123;3,9;,9;
2024-10-29;0300;0;1004,2;1016,6;1004,4;1004,2;-3,4;19;17,6;16,4;17,9;17,3;16,9;16,3;12,6;96;93;93;119;1,5;,5;
2024-10-29;0400;0;1003,9;1016,3;1004,2;1003,9;-3,6;19;18,9;16,5;19;17,6;16,5;16,2;12,6;93;85;86;118;3,9;1,5;
2024-10-29;0500;0;1003,8;1016,2;1003,9;1003,8;-3,6;19;18,1;16,5;18,9;18,1;16,6;16,3;12,6;91;86;91;113;3,9;1,4;
2024-10-29;0600;0;1003,7;1016,1;1003,8;1003,7;-3,6;19;17,8;16,9;18,1;17,7;16,9;16,5;12,6;94;91;94;99;4;1,5;
2024-10-29;0700;0;1004;1016,4;1004;1003,7;-3;19;18;17,1;18;17,8;17,1;16,9;12,5;95;94;94;105;5;1,9;
2024-10-29;0800;0;1004,4;1016,8;1004,4;1004;-1,5;19;17,9;16,9;18;17,8;17,1;16,9;12,5;95;94;94;122;5,8;2,1;
2024-10-29;0900;0;1005,1;1017,6;1005,1;1004,4;7,1;19;17,2;16,7;17,9;17,1;16,9;16,5;12,5;97;94;97;140;4,7;1,5;
2024-10-29;1000;0;1005,5;1017,9;1005,5;1005,1;191,4;19;18,2;17,1;18,2;17,2;17,1;16,7;12,6;97;93;93;99;3,2;1,5;
2024-10-29;1100;0;1006;1018,4;1006;1005,5;525,9;20;19;16,9;19;18,2;17,2;16,6;13,2;93;87;88;104;5,6;2,5;
2024-10-29;1200;0;1006,1;1018,4;1006,1;1006;759,6;21;20,2;17,4;20,2;18,9;17,6;16,8;13,7;89;84;84;115;5,6;2,1;
2024-10-29;1300;0;1005,8;1018,1;1006,1;1005,8;2022,6;23;21,8;18,4;22,3;19,9;18,6;17,1;14,4;85;77;81;113;5,6;2,3;
2024-10-29;1400;0;1005,5;1017,7;1005,8;1005,5;3020,5;25;23,5;18;23,9;21,6;19,2;17,4;14,4;81;71;71;123;5,6;2;
2024-10-29;1500;0;1004,7;1016,8;1005,5;1004,7;3396,4;27;25,4;19;25,5;23,3;19,6;17,5;14,4;76;62;68;123;5,5;2,2;
2024-10-29;1600;0;1004,2;1016,2;1004,7;1004,2;3558,9;29;26,8;18,3;26,9;25,5;19,7;15,9;14,3;68;54;60;115;5,3;2,1;
2024-10-29;1700;0;1003,4;1015,4;1004,3;1003,4;3450,9;30;27,8;18;28;26,4;19,4;16,9;14,3;63;54;55;118;5,9;1,4;
2024-10-29;1800;0;1002,8;1014,8;1003,4;1002,8;3086,3;31;27,8;17,3;28,4;27,2;19,4;16,6;14,3;59;50;53;161;6,6;3,8;
2024-10-29;1900;0;1002,4;1014,4;1002,8;1002,4;2550,4;32;28,1;17,2;28,3;27,6;17,6;15,2;14,1;54;46;52;140;7,4;2,5;
2024-10-29;2000;0;1002,3;1014,3;1002,5;1002,3;1757,2;32;28,1;17,2;28,3;27,7;17,7;16,5;13,8;54;50;52;142;6,4;2,4;
2024-10-29;2100;0;1002,2;1014,2;1002,3;1002;917,1;31;27,3;17,1;28,2;27,3;17,4;16,5;13,2;55;50;54;133;5;2,3;
2024-10-29;2200;0;1002,1;1014,2;1002,2;1002;130,7;30;24,9;17,5;27,4;24,9;17,8;16,8;12,8;64;52;64;138;4,3;1,1;
2024-10-29;2300;0;1002,5;1014,7;1002,5;1002;-3,2;27;23;17,6;24,9;22,1;18,1;17,4;12,7;77;64;71;119;2,5;1;

