"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"29/10/2024";"0000";"20,3";"21,0";"20,3";"83,0";"83,0";"79,0";"17,4";"17,4";"17,3";"1010,5";"1010,7";"1010,5";"1,9";"74,0";"7,9";"";"0,0"
"29/10/2024";"0100";"20,1";"20,3";"20,0";"86,0";"86,0";"83,0";"17,7";"17,7";"17,4";"1010,8";"1010,8";"1010,5";"2,4";"70,0";"7,0";"";"0,0"
"29/10/2024";"0200";"19,9";"20,1";"19,9";"87,0";"87,0";"86,0";"17,8";"17,8";"17,7";"1010,6";"1010,8";"1010,6";"2,6";"127,0";"7,5";"";"0,0"
"29/10/2024";"0300";"19,7";"19,9";"19,7";"89,0";"89,0";"87,0";"17,8";"17,8";"17,7";"1010,3";"1010,6";"1010,3";"1,7";"136,0";"7,1";"";"0,0"
"29/10/2024";"0400";"19,3";"19,7";"19,2";"91,0";"92,0";"89,0";"17,8";"17,8";"17,6";"1010,1";"1010,3";"1010,1";"1,1";"105,0";"3,8";"";"0,0"
"29/10/2024";"0500";"18,8";"19,3";"18,7";"93,0";"93,0";"91,0";"17,7";"17,9";"17,4";"1009,8";"1010,2";"1009,8";"1,1";"130,0";"3,5";"";"0,0"
"29/10/2024";"0600";"19,0";"19,0";"18,6";"94,0";"94,0";"93,0";"18,0";"18,0";"17,5";"1009,6";"1009,8";"1009,6";"1,1";"136,0";"3,5";"";"0,0"
"29/10/2024";"0700";"18,9";"19,0";"18,9";"94,0";"94,0";"94,0";"17,9";"18,0";"17,9";"1009,7";"1009,7";"1009,6";"1,4";"132,0";"3,9";"";"0,0"
"29/10/2024";"0800";"18,8";"19,0";"18,8";"94,0";"95,0";"94,0";"17,9";"18,0";"17,9";"1010,1";"1010,1";"1009,7";"0,9";"131,0";"3,6";"";"0,0"
"29/10/2024";"0900";"18,9";"18,9";"18,6";"95,0";"95,0";"94,0";"18,0";"18,0";"17,7";"1010,8";"1010,8";"1010,1";"0,6";"98,0";"2,5";"19,60";"0,0"
"29/10/2024";"1000";"19,2";"19,4";"18,9";"91,0";"95,0";"91,0";"17,7";"18,2";"17,7";"1011,7";"1011,7";"1010,8";"0,7";"338,0";"2,4";"162,60";"0,0"
"29/10/2024";"1100";"20,6";"20,6";"19,2";"82,0";"92,0";"82,0";"17,5";"18,1";"17,2";"1011,9";"1011,9";"1011,7";"0,5";"165,0";"2,0";"531,50";"0,0"
"29/10/2024";"1200";"21,0";"21,2";"20,6";"80,0";"83,0";"80,0";"17,4";"18,1";"17,2";"1012,0";"1012,1";"1011,9";"1,1";"342,0";"1,9";"796,10";"0,0"
"29/10/2024";"1300";"22,9";"22,9";"21,0";"72,0";"83,0";"71,0";"17,7";"18,9";"17,2";"1012,1";"1012,2";"1012,0";"0,7";"177,0";"2,3";"1015,20";"0,0"
"29/10/2024";"1400";"24,7";"25,3";"22,8";"66,0";"74,0";"63,0";"17,8";"19,2";"17,1";"1011,8";"1012,1";"1011,8";"1,1";"68,0";"2,7";"3053,80";"0,0"
"29/10/2024";"1500";"25,8";"26,3";"24,5";"61,0";"69,0";"59,0";"17,6";"19,0";"17,0";"1011,1";"1011,8";"1011,1";"1,1";"348,0";"3,5";"3484,50";"0,0"
"29/10/2024";"1600";"27,5";"28,2";"25,7";"58,0";"63,0";"52,0";"18,5";"18,9";"17,1";"1010,4";"1011,1";"1010,4";"0,9";"159,0";"2,8";"2888,90";"0,0"
"29/10/2024";"1700";"28,7";"29,0";"26,6";"55,0";"61,0";"53,0";"18,7";"20,0";"17,6";"1009,6";"1010,4";"1009,6";"2,1";"257,0";"4,5";"2996,30";"0,0"
"29/10/2024";"1800";"28,9";"29,0";"26,7";"58,0";"64,0";"53,0";"19,7";"20,3";"18,0";"1009,1";"1009,6";"1009,1";"1,6";"169,0";"5,6";"1966,10";"0,0"
"29/10/2024";"1900";"28,0";"29,2";"27,9";"58,0";"61,0";"55,0";"19,1";"20,4";"18,8";"1008,7";"1009,1";"1008,6";"2,0";"158,0";"7,5";"2499,80";"0,0"
"29/10/2024";"2000";"26,7";"28,1";"26,6";"64,0";"64,0";"58,0";"19,4";"19,7";"18,9";"1009,0";"1009,0";"1008,6";"2,1";"150,0";"7,6";"1635,50";"0,0"
"29/10/2024";"2100";"24,7";"26,8";"24,7";"70,0";"71,0";"63,0";"18,8";"19,5";"18,8";"1009,3";"1009,3";"1009,0";"3,0";"130,0";"8,7";"741,30";"0,0"
"29/10/2024";"2200";"23,2";"24,7";"23,2";"77,0";"77,0";"70,0";"18,9";"18,9";"18,7";"1009,9";"1009,9";"1009,3";"2,7";"131,0";"8,2";"71,10";"0,0"
"29/10/2024";"2300";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
