Nome: SANTA ROSA
Codigo Estacao: A810
Latitude: -27.89055555
Longitude: -54.47999999
Altitude: 272.84
Situacao: Operante
Data Inicial: 2024-10-30
Data Final: 2024-10-30
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;PRECIPITACAO TOTAL, HORARIO(mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA(mB);PRESSAO ATMOSFERICA REDUZIDA NIVEL DO MAR, AUT(mB);PRESSAO ATMOSFERICA MAX.NA HORA ANT. (AUT)(mB);PRESSAO ATMOSFERICA MIN. NA HORA ANT. (AUT)(mB);RADIACAO GLOBAL(Kj/m²);TEMPERATURA DA CPU DA ESTACAO(°C);TEMPERATURA DO AR - BULBO SECO, HORARIA(°C);TEMPERATURA DO PONTO DE ORVALHO(°C);TEMPERATURA MAXIMA NA HORA ANT. (AUT)(°C);TEMPERATURA MINIMA NA HORA ANT. (AUT)(°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT)(°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT)(°C);TENSAO DA BATERIA DA ESTACAO(V);UMIDADE REL. MAX. NA HORA ANT. (AUT)(%);UMIDADE REL. MIN. NA HORA ANT. (AUT)(%);UMIDADE RELATIVA DO AR, HORARIA(%);VENTO, DIRECAO HORARIA (gr)(° (gr));VENTO, RAJADA MAXIMA(m/s);VENTO, VELOCIDADE HORARIA(m/s);
2024-10-30;0000;0;982,3;1013,7;982,3;981,4;-3,4;27;24,7;13,3;25,7;24,6;13,5;12,9;12,4;50;45;49;143;4,5;2,4;
2024-10-30;0100;0;982,7;1014,2;982,8;982,3;-3,5;26;24,1;12,2;24,7;23,6;13,8;12,1;12,4;54;47;47;143;7,3;3;
2024-10-30;0200;0;982,7;1014,3;982,9;982,7;-3,5;25;22,8;13,3;24,1;22,8;13,3;12,1;12,4;55;47;55;135;7,3;1,9;
2024-10-30;0300;0;982,6;1014,3;982,7;982,6;-3,5;24;22,6;15;22,9;22,6;15;13,3;12,4;62;55;62;137;6;2,1;
2024-10-30;0400;0;982,4;1014,2;982,6;982,3;-3,5;23;21,4;15,1;22,6;21,3;15,3;15;12,4;68;62;67;75;5,8;1,4;
2024-10-30;0500;0;981,6;1013,5;982,4;981,6;-3,5;22;20,3;14,9;21,4;20,3;15;14,8;12,4;71;67;71;118;3,5;1,8;
2024-10-30;0600;0;981,8;1013,8;981,9;981,5;-3,5;21;19,1;15,2;20,3;19,1;15,4;15;12,4;78;71;78;49;3,8;,8;
2024-10-30;0700;0;982;1014,2;982;981,8;-3,5;20;17,8;15,4;19,2;17,8;15,6;15,2;12,3;86;78;86;142;2;,7;
2024-10-30;0800;0;982,2;1014,4;982,2;981,9;-3,3;19;17,8;15,5;18;17,5;15,7;15,2;12,3;88;86;86;118;2,9;1;
2024-10-30;0900;0;982,4;1014,6;982,4;982,2;3,1;18;17,8;15,7;18;17,6;15,9;15,5;12,3;89;86;88;107;2,9;,9;
2024-10-30;1000;0;982,9;1014,9;982,9;982,3;286,4;18;19,7;16,5;19,7;17,3;16,7;15,1;12,4;91;82;82;121;2,8;1,4;
2024-10-30;1100;0;983,1;1014,8;983,1;982,9;1197,4;21;22,5;16,8;22,5;19,7;17;16,4;12,5;82;70;70;90;4,5;2,5;
2024-10-30;1200;0;983,2;1014,5;983,4;983,1;1975,1;25;25,8;16,9;25,9;22,6;17,5;16,1;12,6;70;58;58;106;4,6;1,6;
2024-10-30;1300;0;983,1;1014,3;983,3;983,1;2316,5;27;27,1;16,6;27,3;25,7;16,9;15,6;12,7;58;50;52;44;4,9;1,7;
2024-10-30;1400;0;982,5;1013,4;983,1;982,5;2890,1;30;29,5;15,4;29,7;27,1;17,6;13,9;12,7;54;39;42;52;4,1;1,7;
2024-10-30;1500;0;981,7;1012,4;982,5;981,7;3423,4;32;31,5;12,6;31,5;29,5;16,3;12,5;12,7;43;31;32;327;4,4;1,2;
2024-10-30;1600;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2024-10-30;1700;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2024-10-30;1800;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2024-10-30;1900;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2024-10-30;2000;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2024-10-30;2100;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2024-10-30;2200;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2024-10-30;2300;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;

