Nome: SAO BORJA
Codigo Estacao: A830
Latitude: -28.65
Longitude: -56.01638888
Altitude: 81.08
Situacao: Operante
Data Inicial: 2024-10-30
Data Final: 2024-10-30
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;PRECIPITACAO TOTAL, HORARIO(mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA(mB);PRESSAO ATMOSFERICA REDUZIDA NIVEL DO MAR, AUT(mB);PRESSAO ATMOSFERICA MAX.NA HORA ANT. (AUT)(mB);PRESSAO ATMOSFERICA MIN. NA HORA ANT. (AUT)(mB);RADIACAO GLOBAL(Kj/m²);TEMPERATURA DA CPU DA ESTACAO(°C);TEMPERATURA DO AR - BULBO SECO, HORARIA(°C);TEMPERATURA DO PONTO DE ORVALHO(°C);TEMPERATURA MAXIMA NA HORA ANT. (AUT)(°C);TEMPERATURA MINIMA NA HORA ANT. (AUT)(°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT)(°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT)(°C);TENSAO DA BATERIA DA ESTACAO(V);UMIDADE REL. MAX. NA HORA ANT. (AUT)(%);UMIDADE REL. MIN. NA HORA ANT. (AUT)(%);UMIDADE RELATIVA DO AR, HORARIA(%);VENTO, DIRECAO HORARIA (gr)(° (gr));VENTO, RAJADA MAXIMA(m/s);VENTO, VELOCIDADE HORARIA(m/s);
2024-10-30;0000;0;1004,2;1013,8;1004,2;1003,5;-3,5;27;24,5;16,6;25,8;24,5;16,8;16,4;12,4;61;57;61;140;6,4;4,2;
2024-10-30;0100;0;1005,2;1014,8;1005,2;1004,3;-3,5;26;22,7;16,4;24,4;22,7;16,6;16,4;12,4;68;62;68;150;6,8;3,4;
2024-10-30;0200;0;1005;1014,7;1005,3;1004,9;-3,5;24;22;15,6;22,8;21,9;16,5;15,5;12,4;68;66;67;140;7,2;4,2;
2024-10-30;0300;0;1004,7;1014,4;1005;1004,7;-3,5;23;20,9;15,2;22;20,9;15,6;15,1;12,4;70;67;70;132;6,4;2,9;
2024-10-30;0400;0;1004,5;1014,2;1004,7;1004,4;-3,5;22;19,9;15,1;21;19,9;15,4;15;12,4;74;70;74;148;5;1,7;
2024-10-30;0500;0;1004;1013,7;1004,5;1004;-3,5;21;19,5;15,4;20;19,3;15,7;15,1;12,4;78;74;77;148;4,4;2,5;
2024-10-30;0600;0;1003,4;1013,1;1004;1003,4;-3,5;20;19,2;15,2;19,6;18,9;15,5;15,1;12,3;79;77;78;142;5;2,8;
2024-10-30;0700;0;1003,8;1013,6;1003,8;1003,3;-3,5;20;18,3;15,3;19,2;18,2;15,5;15,1;12,3;83;78;83;131;5,5;1,9;
2024-10-30;0800;0;1004,2;1014;1004,2;1003,7;-3,5;19;18,1;15,6;18,4;18;15,6;15,2;12,3;85;83;85;129;4;2;
2024-10-30;0900;0;1004,5;1014,3;1004,5;1004,2;-,4;19;17,7;15,5;18,2;17,7;15,9;15,5;12,3;87;85;87;144;4,1;2,4;
2024-10-30;1000;0;1005,1;1014,9;1005,1;1004,5;263,5;19;19,2;16,4;19,2;17,5;16,5;15,4;12,5;88;84;84;133;4,8;2,9;
2024-10-30;1100;0;1005,2;1014,8;1005,3;1005,1;1019,1;21;22,4;17,8;22,4;19,2;17,8;16,5;13,1;84;75;75;110;7,7;4,7;
2024-10-30;1200;0;1005;1014,6;1005,2;1005;1884,9;24;24,3;18,4;24,4;22,2;18,6;17,4;14,1;75;69;70;105;8,1;4,3;
2024-10-30;1300;0;1004,7;1014,2;1005;1004,7;2645,7;26;26,2;19;26,2;24,2;19,6;18,1;14,1;70;62;65;107;7,1;3,4;
2024-10-30;1400;0;1004,2;1013,6;1004,7;1004,2;3205,8;28;28,6;18,8;28,7;25,9;20;18;14,1;65;54;55;114;5,7;2,9;
2024-10-30;1500;0;1003,5;1012,9;1004,2;1003,5;3537,8;30;30,3;14,7;30,4;28,5;19,9;13,5;14,1;58;36;39;115;6,1;2,5;
2024-10-30;1600;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2024-10-30;1700;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2024-10-30;1800;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2024-10-30;1900;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2024-10-30;2000;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2024-10-30;2100;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2024-10-30;2200;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2024-10-30;2300;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;

