Nome: SANTA ROSA
Codigo Estacao: A810
Latitude: -27.89055555
Longitude: -54.47999999
Altitude: 272.84
Situacao: Operante
Data Inicial: 2024-11-08
Data Final: 2024-11-08
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;PRECIPITACAO TOTAL, HORARIO(mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA(mB);PRESSAO ATMOSFERICA REDUZIDA NIVEL DO MAR, AUT(mB);PRESSAO ATMOSFERICA MAX.NA HORA ANT. (AUT)(mB);PRESSAO ATMOSFERICA MIN. NA HORA ANT. (AUT)(mB);RADIACAO GLOBAL(Kj/m²);TEMPERATURA DA CPU DA ESTACAO(°C);TEMPERATURA DO AR - BULBO SECO, HORARIA(°C);TEMPERATURA DO PONTO DE ORVALHO(°C);TEMPERATURA MAXIMA NA HORA ANT. (AUT)(°C);TEMPERATURA MINIMA NA HORA ANT. (AUT)(°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT)(°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT)(°C);TENSAO DA BATERIA DA ESTACAO(V);UMIDADE REL. MAX. NA HORA ANT. (AUT)(%);UMIDADE REL. MIN. NA HORA ANT. (AUT)(%);UMIDADE RELATIVA DO AR, HORARIA(%);VENTO, DIRECAO HORARIA (gr)(° (gr));VENTO, RAJADA MAXIMA(m/s);VENTO, VELOCIDADE HORARIA(m/s);
2024-11-08;0000;0;977;1008,4;977;976,5;-1,2;24;23;19,2;23,3;23;19,6;19,2;12,5;80;78;79;166;8,3;3,4;
2024-11-08;0100;0;978;1009,6;978;977;-2;24;22,1;18,9;23;22,1;19,1;18,9;12,5;82;79;82;160;9,6;3,5;
2024-11-08;0200;0;978,1;1009,7;978,3;977,9;-2,3;23;21,4;18,8;22,1;21,4;18,9;18,8;12,4;85;82;85;167;7,3;2,9;
2024-11-08;0300;0;978,6;1010,3;978,6;978;,3;23;21,1;17,5;21,4;21,1;18,8;17,5;12,4;86;80;80;143;10,9;4,7;
2024-11-08;0400;0;978,7;1010,5;978,8;978,5;,3;22;20;15,9;21,1;20;17,5;15,9;12,4;80;77;77;148;10,9;3,7;
2024-11-08;0500;0;978,4;1010,3;978,7;978,4;-2,2;21;19,2;15,8;20;19,2;16,2;15,8;12,4;81;77;81;146;8,6;3,4;
2024-11-08;0600;0;977,8;1009,7;978,4;977,8;-1,6;21;18,9;15,8;19,2;18,9;15,8;15,7;12,4;82;80;82;151;6,8;3,1;
2024-11-08;0700;0;977,8;1009,7;978;977,7;-1,7;20;18,7;15,6;19;18,6;15,8;15,5;12,3;82;81;82;134;7,7;3,1;
2024-11-08;0800;0;978,7;1010,6;978,7;977,8;-2,5;20;18,9;15,8;18,9;18,5;15,9;15,5;12,4;84;82;83;150;7,8;3;
2024-11-08;0900;0;979,1;1011;979,1;978,6;6,7;20;19,1;15,7;19,1;18,9;15,8;15,6;12,4;83;80;81;141;7,5;2,7;
2024-11-08;1000;0;980,2;1012,1;980,2;978,9;128,6;20;19,4;16;19,4;19,1;16;15,6;12,6;81;80;81;147;7,2;2,1;
2024-11-08;1100;0;980,8;1012,7;980,8;980,2;432,6;21;20,2;15,8;20,2;19,4;16,1;15,7;12,8;81;75;76;128;7,7;3,9;
2024-11-08;1200;0;981,3;1013,1;981,4;980,6;807;22;21,3;16;21,3;20,2;16,3;15,6;12,9;76;71;72;127;7,7;3,1;
2024-11-08;1300;0;981,7;1013,4;981,7;981,2;981,4;23;22,1;16;22,2;21,3;16,4;15,8;12,9;72;67;68;110;5,9;2,6;
2024-11-08;1400;0;981,4;1012,9;981,8;981,4;1484,2;25;23,9;16,6;23,9;22,1;16,8;15,7;13;69;63;64;98;5,8;2,5;
2024-11-08;1500;0;981,3;1012,8;981,5;981,2;1394,5;26;23,9;16,6;24,5;23,4;17,2;16;13;67;60;64;169;6,8;3,1;
2024-11-08;1600;0;981;1012,3;981,3;980,9;1511,7;27;25,1;16,6;25,1;23,8;17,4;16,2;13;65;59;59;160;6,8;2,6;
2024-11-08;1700;0;980,4;1011,7;981;980,4;1749,3;28;25,5;16,3;26,2;24,7;17,1;15,9;13;61;53;57;162;7,2;3,4;
2024-11-08;1800;0;979,6;1010,7;980,4;979,6;2426,8;29;26,5;16,1;27;25,3;17,8;15,9;13;60;51;53;174;8,2;3,9;
2024-11-08;1900;0;979,3;1010,5;979,6;979,3;1604,9;29;25,4;15,6;27,4;25,4;16,9;15,3;13;57;49;55;160;8,1;3;
2024-11-08;2000;0;979,2;1010,4;979,4;979;1500,8;29;25,5;14,7;27,8;25,4;15,9;13,8;12,9;55;43;51;166;8,5;2,7;
2024-11-08;2100;0;979,2;1010,3;979,2;979;846,8;29;26,7;13,1;27,1;25,5;15,3;12,8;12,9;52;42;43;144;7,6;3,4;
2024-11-08;2200;0;979,8;1011,2;979,8;979,2;178,1;28;24;14,5;26,7;24;14,7;12,9;12,6;56;43;56;149;7,2;3,4;
2024-11-08;2300;0;980,3;1011,9;980,3;979,8;1,9;25;22,4;14,2;24;22,4;14,5;14,2;12,6;60;55;60;140;7,3;3;

