Nome: SAO BORJA
Codigo Estacao: A830
Latitude: -28.65
Longitude: -56.01638888
Altitude: 81.08
Situacao: Operante
Data Inicial: 2024-11-08
Data Final: 2024-11-08
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;PRECIPITACAO TOTAL, HORARIO(mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA(mB);PRESSAO ATMOSFERICA REDUZIDA NIVEL DO MAR, AUT(mB);PRESSAO ATMOSFERICA MAX.NA HORA ANT. (AUT)(mB);PRESSAO ATMOSFERICA MIN. NA HORA ANT. (AUT)(mB);RADIACAO GLOBAL(Kj/m²);TEMPERATURA DA CPU DA ESTACAO(°C);TEMPERATURA DO AR - BULBO SECO, HORARIA(°C);TEMPERATURA DO PONTO DE ORVALHO(°C);TEMPERATURA MAXIMA NA HORA ANT. (AUT)(°C);TEMPERATURA MINIMA NA HORA ANT. (AUT)(°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT)(°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT)(°C);TENSAO DA BATERIA DA ESTACAO(V);UMIDADE REL. MAX. NA HORA ANT. (AUT)(%);UMIDADE REL. MIN. NA HORA ANT. (AUT)(%);UMIDADE RELATIVA DO AR, HORARIA(%);VENTO, DIRECAO HORARIA (gr)(° (gr));VENTO, RAJADA MAXIMA(m/s);VENTO, VELOCIDADE HORARIA(m/s);
2024-11-08;0000;0;1000,7;1010,3;1000,7;1000;-3,4;24;22,2;19,1;22,9;22;19,1;18,9;12,4;83;78;83;163;10,3;4,4;
2024-11-08;0100;0;1001,6;1011,3;1001,6;1000,7;-3,1;23;21;18,1;22,1;20,9;19,1;18;12,4;84;80;84;163;11,4;5;
2024-11-08;0200;0;1001,9;1011,6;1001,9;1001,6;-2,9;23;20,9;17,5;21,1;20,5;18,1;17,5;12,4;84;81;81;153;11,2;4,8;
2024-11-08;0300;0;1002;1011,7;1002;1001,9;-,7;22;20,1;16,8;20,9;20,1;17,5;16,8;12,4;83;81;82;148;10,8;4,7;
2024-11-08;0400;0;1001,8;1011,5;1002,2;1001,8;-2,6;22;19,1;16;20,1;19,1;16,8;16;12,4;83;79;83;160;9,2;3,1;
2024-11-08;0500;0;1001,4;1011,1;1001,9;1001,4;-2,8;21;18,7;16;19,1;18,7;16,1;15,9;12,3;84;83;84;145;7,9;4,2;
2024-11-08;0600;0;1001,2;1011;1001,5;1001,2;-3,3;20;17,6;15,8;18,7;17,3;16;15,4;12,3;89;84;89;152;6,9;2,2;
2024-11-08;0700;0;1002,2;1012;1002,2;1001,1;-2,8;19;17,4;15,7;17,6;17,2;15,8;15,4;12,3;90;89;89;175;5,4;1,9;
2024-11-08;0800;0;1002,4;1012,2;1002,5;1002,2;-2,3;19;17,2;14,5;17,6;17,2;15,6;14,5;12,3;89;84;84;155;6,3;3,4;
2024-11-08;0900;0;1003;1012,8;1003;1002,3;4,1;19;17,1;14,3;17,2;16,9;14,5;13,8;12,3;84;81;84;146;7,4;3,7;
2024-11-08;1000;0;1003,7;1013,5;1003,7;1003;208,1;19;17,6;14,4;17,8;17,1;14,7;14,3;12,6;84;81;82;152;7;3,7;
2024-11-08;1100;0;1004,1;1013,8;1004,1;1003,7;1001;20;19,5;15,3;19,7;17,6;15,7;14,5;13,1;83;77;77;144;7,5;3,5;
2024-11-08;1200;0;1004,8;1014,5;1004,8;1004;1606;22;20,1;15,7;20,7;19,1;16,1;15;13,7;78;74;76;139;7,8;,5;
2024-11-08;1300;0;1005;1014,7;1005;1004,7;1177;23;21;16,5;21;20,1;16,5;15,5;13,9;78;74;76;144;7,5;3,4;
2024-11-08;1400;0;1005,1;1014,8;1005,1;1004,9;1381,4;24;21,9;16,5;22,1;20,8;17,2;16;14,2;76;70;71;130;6,7;3,3;
2024-11-08;1500;0;1004,3;1013,9;1005,1;1004,3;1498;25;23,4;17,4;23,4;21,9;17,4;16,1;14,2;72;67;69;128;7,3;3,1;
2024-11-08;1600;0;1004,1;1013,7;1004,3;1004;2212;26;24,8;17,6;24,9;23,4;18,5;16,5;14,2;69;63;64;143;6,5;3;
2024-11-08;1700;0;1003,5;1013;1004,1;1003,5;2494,8;28;25,7;17,4;25,8;24,4;18,3;16,4;14,2;66;58;60;133;6,1;3,1;
2024-11-08;1800;0;1002,6;1012,1;1003,5;1002,6;2923,3;29;27;16,7;27,4;25,1;18,2;16;14,2;62;53;53;157;8;3,5;
2024-11-08;1900;0;1001,8;1011,2;1002,6;1001,8;2715,6;30;27,5;15,6;27,5;26,3;17,6;14,8;14,2;56;48;48;146;7,5;3,9;
2024-11-08;2000;0;1001,7;1011,2;1001,8;1001,6;2248,3;30;26,8;14,7;27,8;26,2;16,2;14;14,2;51;44;47;136;9,7;4,2;
2024-11-08;2100;0;1001,9;1011,4;1001,9;1001,6;1238,8;29;25,7;13,9;27,1;25,7;15,2;13,3;13,2;50;46;48;125;8,7;4,2;
2024-11-08;2200;0;1002,3;1011,9;1002,3;1001,9;369,1;28;24;14,2;25,7;24;14,2;13,3;12,4;54;47;54;114;7,5;3;
2024-11-08;2300;0;1002,7;1012,3;1002,7;1002,3;3;25;22,4;13,8;24;22,3;14,4;13,7;12,5;59;54;58;123;4,9;1,9;

